,name,name_link,critics_consensus,score_critical,score_audience,count_critical,count_audience,abstract,Rating,Genre,Directed_By,Written_By,In_Theaters,On_Disc_Streaming,Box_Office,Runtime,Studio
30,The Spirit,the_spirit,"Though its visuals are unique, The Spirit's plot is almost incomprehensible, the dialogue is ludicrously mannered, and the characters are unmemorable.",14%,25%,111,"122,746","A resurrected cop does battle with a villain whose quest for immortality threatens an entire metropolis in Sin City creator Frank Miller's adaptation of Will Eisner's acclaimed graphic novel. When a rookie cop is brutally killed and mysteriously brought back to life, he assumes the guise of The Spirit (Gabriel Macht) -- a masked crime fighter who prowls the shadows of Central City on a supernatural mission to keep the urban landscape safe. Upon discovering that his arch nemesis, The Octopus (Samuel L. Jackson), is determined to live forever even if it means wiping out the entire population of Central City, The Spirit must race to stop the diabolical villain from achieving his cold-blooded plan. But even with his unique powers, the brave masked crusader will face a series of deadly challenges as a bevy of treacherous beauties including deceptively sweet girl next door Ellen Dolan (Sarah Paulson), spitfire secretary Silken Floss (Scarlett Johansson), wraithlike siren Lorelei (Jaime King), seductive policewoman Morgenstern (Stana Katic), and French black widow Plaster of Paris (Paz Vega) set out to seduce or consume him at every turn; even The Spirit's one true love, a volatile jewel thief named Sand Saref (Eva Mendes), could ultimately destroy our hero before he accomplishes his mission of saving Central City. ~ Jason Buchanan, Rovi","PG-13 (for intense sequences of stylized violence and action, some sexual content and brief nudity)","[Action & Adventure, Drama]",[Frank Miller (II)],[Frank Miller (II)],"Dec 25, 2008","Apr 14, 2009","$19,781,879",102 minutes,[Lionsgate Films]
31,Watchmen,watchmen,"Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.",64%,71%,302,"1,056,884","300's Zack Snyder brings Alan Moore and Dave Gibbons' critically acclaimed comic book Watchmen to the big screen, courtesy of DC Comics and Warner Bros. Pictures. Set in an alternate universe circa 1985, the film's world is a highly unstable one where a nuclear war is imminent between America and Russia. Superheroes have long been made to hang up their tights thanks to the government-sponsored Keene Act, but that all changes with the death of The Comedian (Jeffrey Dean Morgan), a robust ex-hero commando whose mysterious free fall out a window perks the interest of one of the country's last remaining vigilantes, Rorschach (Jackie Earle Haley). His investigation leads him to caution many of his other former costumed colleagues, including Dr. Manhattan, Night Owl (Patrick Wilson), Ozymandias (Matthew Goode), Sally Jupiter (Carla Gugino), and her daughter, The Silk Spectre (Malin Akerman). Heralded for bringing the world of superheroes into the literary world, Watchmen gave the super-powered mythos a real-life grounding that had been missing in mainstream comics to that point. The film adaptation had languished in one form of development hell or another for years after the book's release, with various directors on and off the project, including Terry Gilliam, David Hayter, and Darren Aronofsky, as well as Paul Greengrass, whose eventual dismissal stemmed from budget conflicts with the studio. ~ Jeremy Wheeler, Rovi","R (for strong graphic violence, sexuality, nudity and language)","[Action & Adventure, Drama, Science Fiction & Fantasy]",[Zack Snyder],"[Alex Tse, David Hayter]","Mar 6, 2009","Jul 21, 2009","$107,453,620",163 minutes,[Warner Bros. Pictures]
32,The Losers,1226860_losers,"The Losers is loud, fast, and unrelentingly violent -- but it's also funny and well-acted, which will make all the difference for some action fans.",48%,53%,164,"144,599","Director Sylvain White adapts the Vertigo comic about a team of mercenaries who wage war on the CIA after they're double-crossed in the field and left to die. Clay (Jeffrey Dean Morgan), Jensen (Chris Evans), Roque (Idris Elba), Pooch (Columbus Short), and Cougar (Óscar Jaenada) were on a black-ops mission in the Bolivian jungle when rogue CIA agent Max (Jason Patric) hung them out to dry. After beating the odds and surviving their ordeal, the team decides to strike back against Max even if it means sacrificing their own lives to do so. Aiding them on their treacherous suicide mission is sexy operative Aisha (Zoe Saldana), who has her own reasons for wanting to see Max get his just deserts. But getting to Max won't be easy, because in addition to having the CIA on his side, he's about to spark a war that could plunge the entire globe into chaos. Their time quickly running out as Max's plan kicks into overdrive, the Special Forces unit that everyone assumed dead arms themselves to the teeth and prepares to strike back with a vengeance. ~ Jason Buchanan, Rovi","PG-13 (for sequences of intense action and violence, a scene of sensuality and language)","[Action & Adventure, Drama, Mystery & Suspense]",[Sylvain White],"[Peter Berg, James Vanderbilt]","Apr 23, 2010","Jul 20, 2010","$23,400,000",98 minutes,[Warner Bros. Pictures]
33,Jonah Hex,jonah_hex,"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",12%,20%,147,"170,743","1970s-era DC antihero Jonah Hex makes his way to the big screen as co-screenwriters Mark Neveldine and Brian Taylor (Crank, Gamer) team to follow the disfigured gunslinger and part-time bounty hunter on his biggest adventure yet. Supernatural elements combine with Western aesthetics to take viewers on a wild and bloody ride, with Josh Brolin leading the way as Hex and John Malkovich stepping into the villainous role of Turnbull. Jimmy Hayward (Horton Hears a Who) directs. ~ Jason Buchanan, Rovi","PG-13 (for intense sequences of violence and action, disturbing images and sexual content)","[Action & Adventure, Drama, Horror, Western]",[Jimmy Hayward],"[Mark Neveldine, Brian Taylor]","Jun 18, 2010","Oct 12, 2010","$10,500,000",84 minutes,[Warner Bros. Pictures]
34,RED,red,"It may not be the killer thrill ride you'd expect from an action movie with a cast of this caliber, but Red still thoroughly outshines most of its big-budget counterparts with its wit and style.",71%,72%,204,"136,021","Frank, Joe, Marvin and Victoria used to be the CIA's top agents, but the secrets they know just made them the Agency's top targets. Now framed for assassination, they must use all of their collective cunning, experience and teamwork to stay one step ahead of their deadly pursuers and stay alive. To stop the operation, the team embarks on an impossible, cross-country mission to break into the top-secret CIA headquarters, where they will uncover one of the biggest conspiracies and cover-ups in government history.",PG-13 (for intense sequences of action violence and brief strong language),"[Action & Adventure, Comedy, Mystery & Suspense]",[Robert Schwentke],"[Erich Hoeber, Jon Hoeber]","Oct 15, 2010","Jan 25, 2011","$88,900,000",111 minutes,[Summit Entertainment]
35,Green Lantern,green_lantern,"Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",26%,45%,237,"149,047","In a universe as vast as it is mysterious, a small but powerful force has existed for centuries. Protectors of peace and justice, they are called the Green Lantern Corps. A brotherhood of warriors sworn to keep intergalactic order, each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of their newest recruit, the first human ever selected: Hal Jordan (Ryan Reynolds). Hal is a gifted and cocky test pilot, but the Green Lanterns have little respect for humans, who have never harnessed the infinite powers of the ring before. -- (C) Warner Bros",PG-13 (for intense sequences of sci-fi violence and action),"[Action & Adventure, Science Fiction & Fantasy]",[Martin Campbell],"[Greg Berlanti, Marc Guggenheim, Michael Green, Michael Goldenberg]","Jun 17, 2011","Oct 14, 2011","$116,600,000",113 minutes,[Warner Bros. Pictures]
36,The Dark Knight Rises,the_dark_knight_rises,"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",87%,90%,356,"1,210,400","It has been eight years since Batman vanished into the night, turning, in that instant, from hero to fugitive. Assuming the blame for the death of D.A. Harvey Dent, the Dark Knight sacrificed everything for what he and Commissioner Gordon both hoped was the greater good. For a time the lie worked, as criminal activity in Gotham City was crushed under the weight of the anti-crime Dent Act. But everything will change with the arrival of a cunning cat burglar with a mysterious agenda. Far more dangerous, however, is the emergence of Bane, a masked terrorist whose ruthless plans for Gotham drive Bruce out of his self-imposed exile. But even if he dons the cape and cowl again, Batman may be no match for Bane.. -- (C) Warner Bros.","PG-13 (for intense sequences of violence and action, some sensuality and language)","[Action & Adventure, Drama, Mystery & Suspense]",[Christopher Nolan],"[Christopher Nolan, Jonathan Nolan, Bob Kane]","Jul 20, 2012","Dec 3, 2012","$448,130,642",165 minutes,[Warner Bros. Pictures]
37,Man of Steel,superman_man_of_steel,Man of Steel's exhilarating action and spectacle can't fully overcome its detours into generic blockbuster territory.,56%,75%,324,"447,680","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. -- (C) Warner Bros","PG-13 (for intense sequences of sci-fi violence, action and destruction, and for some language)","[Action & Adventure, Science Fiction & Fantasy]",[Zack Snyder],"[Christopher Nolan, Kurt Johnstad, David S. Goyer]","Jun 14, 2013","Nov 12, 2013","$291,021,565",143 minutes,[Warner Bros. Pictures]
38,RED 2,red_2,"While it's still hard to argue with its impeccable cast or the fun they often seem to be having, Red 2 replaces much of the goofy fun of its predecessor with empty, over-the-top bombast.",44%,63%,148,"93,219","In RED 2, the high-octane action-comedy sequel to the worldwide sleeper hit, retired black-ops CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device. To succeed, they'll need to survive an army of relentless assassins, ruthless terrorists and power-crazed government officials, all eager to get their hands on the next-generation weapon. The mission takes Frank and his motley crew to Paris, London and Moscow. Outgunned and outmanned, they have only their cunning wits, their old-school skills, and each other to rely on as they try to save the world-and stay alive in the process. (c) Summit","PG-13 (for pervasive action and violence including frenetic gunplay, and for some language and drug material)","[Action & Adventure, Drama]",[Dean Parisot],"[Jon Hoeber, Erich Hoeber]","Jul 19, 2013","Nov 26, 2013","$53,215,979",116 minutes,[Lionsgate Films]
39,Batman v Superman: Dawn of Justice,batman_v_superman_dawn_of_justice,Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.,28%,63%,406,"233,088","Batman (Ben Affleck) and Superman (Henry Cavill) share the screen in this Warner Bros./DC Entertainment co-production penned by David S. Goyer and Chris Terrio, and directed by Zack Snyder. Amy Adams and Diane Lane return as Lois Lane and Martha Kent, respectively.","PG-13 (for intense sequences of violence and action throughout, and some sensuality)","[Action & Adventure, Science Fiction & Fantasy]",[Zack Snyder],"[Zack Snyder, David S. Goyer, Chris Terrio]","Mar 23, 2016","Jul 19, 2016","$293,792,936",151 minutes,[Warner Bros. Pictures]
40,Suicide Squad,suicide_squad_2016,"Suicide Squad boasts a talented cast and a little more humor than previous DCEU efforts, but they aren't enough to save the disappointing end result from a muddled plot, thinly written characters, and choppy directing.",27%,60%,356,"144,586","From director David Ayer (""Fury,"" ""End of Watch"") comes ""Suicide Squad,"" starring Oscar nominee Will Smith (""Ali,"" ""The Pursuit of Happyness""), Oscar winner Jared Leto (""Dallas Buyers Club""), Margot Robbie (""The Wolf of Wall Street,"" ""Focus""), Joel Kinnaman (Netflix's ""House of Cards"") and Oscar nominee Viola Davis (""The Help,"" ""Doubt""). It feels good to be bad... Assemble a team of the world's most dangerous, incarcerated Super Villains, provide them with the most powerful arsenal at the government's disposal, and send them off on a mission to defeat an enigmatic, insuperable entity. U.S. intelligence officer Amanda Waller has determined only a secretly convened group of disparate, despicable individuals with next to nothing to lose will do. However, once they realize they weren't picked to succeed but chosen for their patent culpability when they inevitably fail, will the Suicide Squad resolve to die trying, or decide it's every man for himself?","PG-13 (for sequences of violence and action throughout, disturbing behavior, suggestive content and language)",[Action & Adventure],[David Ayer],[David Ayer],"Aug 5, 2016","Dec 13, 2016","$325,021,779",123 minutes,[Warner Bros. Pictures]
41,The Lego Batman Movie,the_lego_batman_movie,The Lego Batman Movie continues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.,90%,80%,295,"46,048","In the irreverent spirit of fun that made ""The LEGO (R) Movie"" a worldwide phenomenon, the self-described leading man of that ensemble - LEGO Batman - stars in his own big-screen adventure: ""The LEGO (R) Batman Movie."" But there are big changes brewing in Gotham, and if he wants to save the city from The Joker's hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",PG (for rude humor and some action),"[Action & Adventure, Animation, Comedy, Kids & Family]",[Chris McKay],"[Seth Grahame-Smith, Chris McKenna (II), Erik Sommers, Jared Stern, John Whittington]","Feb 10, 2017","Jun 13, 2017","$175,686,290",90 minutes,[Warner Bros. Pictures]
42,Wonder Woman,wonder_woman_2017,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",93%,88%,422,"127,562","An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a pilot (Chris Pine) crash-lands nearby. After rescuing him, she learns that World War I is engulfing the planet, and vows to use her superpowers to restore peace. Directed by Patty Jenkins (Monster).","PG-13 (for sequences of violence and action, and some suggestive content)","[Action & Adventure, Drama, Science Fiction & Fantasy]",[Patty Jenkins],"[Allan Heinberg, Geoff Johns]","Jun 2, 2017","Sep 19, 2017","$412,400,625",141 minutes,[Warner Bros. Pictures]
43,Justice League,justice_league_2017,"Justice League leaps over a number of DC movies, but its single bound isn't enough to shed the murky aesthetic, thin characters, and chaotic action that continue to dog the franchise.",40%,73%,362,"126,172","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy. Together, Batman and Wonder Woman work quickly to find and recruit a team of metahumans to stand against this newly awakened threat. But despite the formation of this unprecedented league of heroes--Batman, Wonder Woman, Aquaman, Cyborg and The Flash--it may already be too late to save the planet from an assault of catastrophic proportions.",PG-13 (for sequences of sci-fi violence and action),"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Zack Snyder],"[Chris Terrio, Joss Whedon]","Nov 17, 2017","Mar 13, 2018","$227,032,490",110 minutes,[Warner Bros. Pictures]
44,Aquaman,aquaman_2018,"Aquaman swims with its entertainingly ludicrous tide, offering up CGI superhero spectacle that delivers energetic action with an emphasis on good old-fashioned fun.",65%,76%,360,"31,752","From Warner Bros. Pictures and director James Wan comes an action-packed adventure that spans the vast, visually breathtaking underwater world of the seven seas, ""Aquaman,"" starring Jason Momoa in the title role. The film reveals the origin story of half-human, half-Atlantean Arthur Curry and takes him on the journey of his lifetime--one that will not only force him to face who he really is, but to discover if he is worthy of who he was born to be... a king.","PG-13 (for sequences of sci-fi violence and action, and for some language)","[Action & Adventure, Science Fiction & Fantasy]",[James Wan],"[Will Beall, David Leslie Johnson-McGoldrick]","Dec 21, 2018",nan,nan,143 minutes,[Warner Bros. Pictures]
45,Shazam!,shazam,"An effortlessly entertaining blend of humor and heart, Shazam! is a superhero movie that never forgets the genre's real power: joyous wish fulfillment.",90%,88%,329,"6,959","We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's (Asher Angel) case, by shouting out one word--SHAZAM!--this streetwise 14-year-old foster kid can turn into the adult Super Hero Shazam (Zachary Levi), courtesy of an ancient wizard. Still a kid at heart--inside a ripped, godlike body--Shazam revels in this adult version of himself by doing what any teen would do with superpowers: have fun with them! Can he fly? Does he have X-ray vision? Can he shoot lightning out of his hands? Can he skip his social studies test? Shazam sets out to test the limits of his abilities with the joyful recklessness of a child. But he'll need to master these powers quickly in order to fight the deadly forces of evil controlled by Dr. Thaddeus Sivana (Strong).","PG-13 (for intense sequences of action, language, and suggestive material)","[Action & Adventure, Science Fiction & Fantasy]",[David F. Sandberg],[Henry Gayden],"Apr 5, 2019",nan,nan,130 minutes,[New Line Cinema]
